execution_id,run_id,request_id,trial_number,iteration,sequence_number,scenario_id,target_prompt_tokens,actual_prompt_tokens,prompt_token_error,prompt_eval_duration_ms,prompt_tokens_per_second,client_ttft_ms,client_e2e_ms,output_tokens,done_reason,engine_load_duration_ms,gpu_sample_count,gpu_memory_used_max_mib,gpu_utilization_mean_pct,gpu_utilization_max_pct,gpu_temperature_mean_c,gpu_temperature_max_c,gpu_sm_clock_mean_mhz,gpu_power_mean_w
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,b52d8062-f074-4c2b-aeab-c29825138a44,1,5,42,prompt-00512,512,512,0,97.81,5234.638585011758,110.415338,121.189656,2,stop,2.384062,1,6628.0,100.0,100.0,64.0,64.0,1620.0,256.81
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,fda7e902-aa10-433c-ab6d-d441f78b2708,1,5,43,prompt-16384,16384,16384,0,3640.253,4500.786071737321,3836.720119,3851.503019,2,stop,4.302243,39,6628.0,100.0,100.0,63.794871794871796,65.0,1642.6923076923076,275.67487179487176
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,c3e85bcb-fe8d-4df9-be0a-358cafa2faa5,1,5,44,prompt-01024,1024,1024,0,188.337,5437.062287282903,208.041724,218.908491,2,stop,3.046102,2,6628.0,100.0,100.0,65.0,65.0,1575.0,299.05
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,c8d6bb66-1d58-4d70-b971-d4fdb01e7b2a,1,5,45,prompt-08192,8192,8192,0,1624.432,5042.993489416608,1747.674976,1760.023064,2,stop,3.522562,18,6628.0,100.0,100.0,65.5,66.0,1620.0,264.4194444444445
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,87ff6957-c8e2-4546-bdee-97fb445a2edd,1,5,46,prompt-00256,256,256,0,51.01,5018.623799255048,61.443229,72.099356,2,stop,3.044642,0,,,,,,,
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,0bdc0ce6-d2e7-43af-a6d6-65836ad47e5d,1,5,47,prompt-02048,2048,2048,0,372.606,5496.422494538467,406.224882,417.037239,2,stop,3.723742,5,6628.0,100.0,100.0,64.4,66.0,1848.0,272.348
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,9842dd4f-b92b-4c75-a1b5-06d5faeeaf37,1,6,48,prompt-00128,128,128,0,28.186,4541.261619243596,36.063374,46.27959,2,stop,2.820061,0,,,,,,,
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,08fbc5f6-bdcd-474d-aa2f-6d0efc2252e2,1,6,49,prompt-04096,4096,4096,0,764.161,5360.126988946047,839.451922,851.021899,2,stop,3.285382,9,6628.0,100.0,100.0,63.77777777777778,66.0,1620.0,226.53555555555556
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,94483009-7da9-4ebe-a8e9-57f9aa78f6c4,1,6,50,prompt-00512,512,512,0,96.892,5284.233992486479,111.898993,122.206309,2,stop,2.809292,1,6628.0,100.0,100.0,66.0,66.0,1620.0,246.5
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,3aa343b3-a6ce-49f1-ba37-96b6587ee571,1,6,51,prompt-16384,16384,16384,0,3658.132,4478.788627638368,3844.845128,3859.898308,2,stop,5.786594,38,6628.0,100.0,100.0,66.8157894736842,68.0,1635.3947368421052,278.0342105263158
